Timestamp,Username,Category,Action,Detail
2026-05-07 19:01:19,admin,Filter,ApplyFilter,UnsharpMask
2026-05-07 19:01:10,admin,Image Tool,ResetView,
2026-05-07 19:01:07,admin,Filter,ApplyFilter,ButterworthLowPass
2026-05-07 19:00:57,admin,Image Tool,ResetView,
2026-05-07 19:00:54,admin,Filter,ApplyFilter,ButterworthHighPass
2026-05-07 19:00:44,admin,Image Tool,ResetView,
2026-05-07 19:00:41,admin,Filter,ApplyFilter,MorphologicalGradient
2026-05-07 19:00:34,admin,Image Tool,ResetView,
2026-05-07 19:00:31,admin,Filter,ApplyFilter,CannyEdge
2026-05-07 19:00:08,admin,Filter,ResetFilter,
2026-05-07 19:00:05,admin,Filter,ApplyFilter,Clahe
2026-05-07 19:00:03,admin,Filter,ResetFilter,
2026-05-07 18:59:59,admin,Filter,ApplyFilter,GaussianSmooth
2026-05-07 18:59:57,admin,Filter,ResetFilter,
2026-05-07 18:59:53,admin,Filter,ApplyFilter,HistogramEqualization
2026-05-07 18:59:51,admin,Filter,ResetFilter,
2026-05-07 18:59:47,admin,Filter,ApplyFilter,UnsharpMask
2026-05-07 18:59:45,admin,Filter,ResetFilter,
2026-05-07 18:59:41,admin,Filter,ApplyFilter,Normalization
2026-05-07 18:59:39,admin,Filter,ResetFilter,
2026-05-07 18:59:34,admin,Filter,ApplyFilter,ButterworthLowPass
2026-05-07 18:59:30,admin,Filter,ResetFilter,
2026-05-07 18:59:26,admin,Filter,ApplyFilter,ButterworthHighPass
2026-05-07 18:59:22,admin,Filter,ResetFilter,
2026-05-07 18:59:19,admin,Filter,ApplyFilter,SobelEdge
2026-05-07 18:59:16,admin,Filter,ResetFilter,
2026-05-07 18:59:13,admin,Filter,ApplyFilter,MorphologicalGradient
2026-05-07 18:59:10,admin,Filter,ResetFilter,
2026-05-07 18:59:07,admin,Filter,ApplyFilter,VectorGradientMagnitude
2026-05-07 18:59:04,admin,Filter,ResetFilter,
2026-05-07 18:59:01,admin,Filter,ApplyFilter,CannyEdge
2026-05-07 18:58:57,admin,Filter,ResetFilter,
2026-05-07 18:58:54,admin,Filter,ApplyFilter,SobelEdge
2026-05-07 18:58:48,admin,Image Tool,ResetView,
2026-05-07 18:58:47,admin,Defect Marking,ClearDefects,2 defects cleared
2026-05-07 18:58:44,admin,Defect Marking,DeleteDefect,Undercut
2026-05-07 18:58:41,admin,Defect Marking,MarkDefect,"Undercut at (895,245) 23.4 mm"
2026-05-07 18:58:37,admin,Defect Marking,MarkDefect,"Crack at (881,1546) 23.5 mm"
